Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
121507,SYSBIO 350,Systems Biology Research,037,Systems Biology,"Paulsson,Johan",0,5,0,0,0,0,0,5
121507,SYSBIO 350,Systems Biology Research,038,Systems Biology,"Ramanathan,Sharad",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,039,Systems Biology,"Regev,Aviv",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,040,Systems Biology,"Reich,David Emil",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,041,Systems Biology,"Rinn,John L",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,042,Systems Biology,"Sabeti,Pardis Christine",0,3,0,0,0,0,0,3
121507,SYSBIO 350,Systems Biology Research,043,Systems Biology,"Schier,Alexander F",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,047,Systems Biology,"Silver,Pamela A.",0,3,0,0,0,0,0,3
121507,SYSBIO 350,Systems Biology Research,049,Systems Biology,"Springer,Michael",0,5,0,0,0,0,0,5
121507,SYSBIO 350,Systems Biology Research,052,Systems Biology,"Xie,Xiaoliang Sunney",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,053,Systems Biology,"Yin,Peng",0,2,0,0,0,0,0,2
121507,SYSBIO 350,Systems Biology Research,055,Systems Biology,"Patel,Chirag",0,1,0,0,0,0,0,1
121507,SYSBIO 350,Systems Biology Research,056,Systems Biology,"Kohane,Isaac Samuel",0,2,0,0,0,0,0,2
121507,SYSBIO 350,Systems Biology Research,058,Systems Biology,"Vandenberghe,Luk Hugo",0,1,0,0,0,0,0,1
121452,SYSBIO 399,Systems Biology: Rotations,001,Systems Biology,"Mitchison,Timothy",0,9,0,0,0,0,0,9
127492,TAM 101B,Elementary Tamil,001,South Asian Studies,"Ripley,Jonathan Daniel",2,2,0,2,0,0,0,6
127494,TAM 102B,Intermediate Tamil,001,South Asian Studies,"Ripley,Jonathan Daniel",1,0,1,2,0,0,0,4
127496,TAM 103BR,Advanced Tamil,001,South Asian Studies,"Ripley,Jonathan Daniel",1,4,0,1,0,0,0,6
206819,TAM 91R,Tamil Supervised Readings,001,South Asian Studies,"Ripley,Jonathan Daniel",0,2,0,0,0,0,0,2
112880,TDM 110,Beginning Acting,001,"Theater, Dance & Media","Kuntz,John F",19,0,0,1,0,0,0,20
122906,TDM 112R,Adv Acting: Contemporary Texts,001,"Theater, Dance & Media","Stern,Marcus",12,0,0,0,0,0,0,12
119020,TDM 115,Acting Shakespeare,001,"Theater, Dance & Media","Airaldi,Remo Francisco",13,0,0,0,0,0,0,13
206861,TDM 124X,"Acting, Theory, Public Spch",001,"Theater, Dance & Media","Levine,David Marcel",9,0,0,0,0,0,0,9
126812,TDM 131,Directing Lab,001,"Theater, Dance & Media","Milikowsky,Shira",7,0,0,0,0,0,0,7
205366,TDM 143B,Gaga Dancers: Movement Languag,001,"Theater, Dance & Media","Zambrano,Mario Alberto",8,2,0,6,0,0,0,16
205367,TDM 146,Dance on Camera: In Studio,001,"Theater, Dance & Media","Zambrano,Mario Alberto",4,0,0,2,0,0,0,6
109545,TDM 151,Scenography Studio,001,"Theater, Dance & Media","Brown,Sara L",13,0,0,1,0,0,0,14
206866,TDM 165,Special Probs in Playwriting,001,"Theater, Dance & Media",,10,1,0,0,0,0,0,11
